央视,#genre#
cctv1,http://183.215.116.134:6610/180000001001/00000000000000020000000000182562/main.m3u8?IASHttpSessionId=OTT
cctv2,http://183.215.116.134:6610/180000001001/00000000000000020000000000182301/main.m3u8?IASHttpSessionId=OTT
cctv3,http://183.215.116.134:6610/180000001001/00000001000000000008000000047432/main.m3u8?IASHttpSessionId=OTT
cctv4,http://39.134.240.4/PLTV/2/224/3221225829/index.m3u8
cctv4,http://183.215.116.134:6610/180000001001/00000001000000000002000000028006/main.m3u8?IASHttpSessionId=OTT
cctv4,http://hczn.x3322.net:9901/tsfile/live/0016_1.m3u8
cctv4欧洲,http://183.215.116.134:6610/180000001001/00000001000000000071000000305577/main.m3u8?IASHttpSessionId=OTT
cctv4美洲,http://183.215.116.134:6610/180000001001/00000001000000000071000000305581/main.m3u8?IASHttpSessionId=OTT
cctv5,http://183.215.116.134:6610/180000001001/00000001000000000002000000028007/main.m3u8?IASHttpSessionId=OTT
cctv5+,http://183.215.116.134:6610/180000001001/00000000000000020000000000182561/main.m3u8?IASHttpSessionId=OTT
cctv6,http://183.215.116.134:6610/180000001001/00000001000000000002000000028008/main.m3u8?IASHttpSessionId=OTT
cctv7,http://183.215.116.134:6610/180000001001/00000001000000000002000000028009/main.m3u8?IASHttpSessionId=OTT
cctv8,http://183.215.116.134:6610/180000001001/00000001000000000002000000028010/main.m3u8?IASHttpSessionId=OTT
cctv9,http://183.215.116.134:6610/180000001001/00000000000000020000000000182545/main.m3u8?IASHttpSessionId=OTT
cctv10,http://183.215.116.134:6610/180000001001/00000000000000020000000000182294/main.m3u8?IASHttpSessionId=OTT
cctv11,http://183.215.116.134:6610/180000001001/00000000000000020000000000182300/main.m3u8?IASHttpSessionId=OTT
cctv11,http://183.215.116.134:6610/180000001001/00000001000000001019000000352943/main.m3u8?IASHttpSessionId=OTT
cctv12,http://183.215.116.134:6610/180000001001/00000001000000000002000000028015/main.m3u8?IASHttpSessionId=OTT
cctv13,http://183.215.116.134:6610/180000001001/00000001000000000045000000287929/main.m3u8?IASHttpSessionId=OTT
cctv13,http://183.215.116.134:6610/180000001001/00000000000000020000000000182324/main.m3u8?IASHttpSessionId=OTT
cctv14,http://183.215.116.134:6610/180000001001/00000001000000000002000000028017/main.m3u8?IASHttpSessionId=OTT
cctv15,http://183.215.116.134:6610/180000001001/00000001000000001019000000352948/main.m3u8?IASHttpSessionId=OTT
cctv15,http://183.215.116.134:6610/180000001001/00000001000000000002000000028018/main.m3u8?IASHttpSessionId=OTT
cctv16,http://183.215.116.134:6610/180000001001/00000001000000000079000000434986/main.m3u8?IASHttpSessionId=OTT
cctv16,http://183.215.116.134:6610/180000001001/00000001000000000079000000434987/main.m3u8?IASHttpSessionId=OTT
cctv17,http://183.215.116.134:6610/180000001001/00000001000000000025000000024152/main.m3u8?IASHttpSessionId=OTT
cctv17,http://183.215.116.134:6610/180000001001/00000001000000000025000000024151/main.m3u8?IASHttpSessionId=OTT
cctv1,http://39.134.240.4/PLTV/1/224/3221225728/index.m3u8
cctv2,http://39.134.240.4/PLTV/1/224/3221226388/index.m3u8
cctv4,http://39.134.240.4/PLTV/2/224/3221225829/index.m3u8
cctv5,http://39.134.240.4/PLTV/2/224/3221225827/index.m3u8
cctv6,http://39.134.240.4/PLTV/2/224/3221225825/index.m3u8
cctv7,http://39.134.240.4/PLTV/1/224/3221226376/index.m3u8
cctv8,http://39.134.240.4/PLTV/2/224/3221225821/index.m3u8
cctv9,http://39.134.240.4/PLTV/1/224/3221226380/index.m3u8
cctv10,http://39.134.240.4/PLTV/1/224/3221226382/index.m3u8
cctv12,http://39.134.240.4/PLTV/1/224/3221226384/index.m3u8
cctv14,http://39.134.240.4/PLTV/1/224/3221226386/index.m3u8
CHC动作电影,http://183.215.116.134:6610/180000001001/00000001000000000050000000448842/main.m3u8?IASHttpSessionId=OTT
CHC影迷电影,http://183.215.116.134:6610/180000001001/00000001000000000050000000448841/main.m3u8?IASHttpSessionId=OTT
CHC家庭影院,http://183.215.116.134:6610/180000001001/00000001000000000050000000448840/main.m3u8?IASHttpSessionId=OTT
CGTN,http://183.215.116.134:6610/180000001001/00000001000000000002000000028019/main.m3u8?IASHttpSessionId=OTT
CGTN记录,http://183.215.116.134:6610/180000001001/00000000000000020000000000182305/main.m3u8?IASHttpSessionId=OTT
CGTN西班牙,http://183.215.116.134:6610/180000001001/00000001000000000071000000305582/main.m3u8?IASHttpSessionId=OTT
CETV2,http://183.215.116.134:6610/180000001001/00000001000000000024000000361367/main.m3u8?IASHttpSessionId=OTT
CETV4,http://183.215.116.134:6610/180000001001/00000001000000000024000000361368/main.m3u8?IASHttpSessionId=OTT
重温经典,http://38.75.136.137:82/live1/jsb.m3u8?id=cwjd&app=cc.zztv.tvbox&version=1.0.3&mac=fu:ck:92:92:ff:ck&nwtime=1763187125&sign=6c8e2b9793ca5d4bbd3d3f070d8422eb&ev=20250805
风云剧场,http://183.215.116.134:6610/180000001001/00000001000000000091000000244807/main.m3u8?IASHttpSessionId=OTT
风云足球,http://183.215.116.134:6610/180000001001/00000001000000000091000000244800/main.m3u8?IASHttpSessionId=OTT
兵器科技,http://183.215.116.134:6610/180000001001/00000001000000000091000000244796/main.m3u8?IASHttpSessionId=OTT
世界地理,http://183.215.116.134:6610/180000001001/00000001000000000091000000244805/main.m3u8?IASHttpSessionId=OTT
央视台球,http://183.215.116.134:6610/180000001001/00000001000000000091000000244803/main.m3u8?IASHttpSessionId=OTT
电视指南,http://183.215.116.134:6610/180000001001/00000001000000000091000000244797/main.m3u8?IASHttpSessionId=OTT
高尔夫网球,http://183.215.116.134:6610/180000001001/00000001000000000091000000244801/main.m3u8?IASHttpSessionId=OTT
央视文化精品,http://183.215.116.134:6610/180000001001/00000001000000000091000000244810/main.m3u8?IASHttpSessionId=OTT
老故事,http://183.215.116.134:6610/180000001001/00000001000000000050000000448839/main.m3u8?IASHttpSessionId=OTT
书法,http://183.215.116.134:6610/180000001001/00000001000000000050000000448843/main.m3u8?IASHttpSessionId=OTT
cctv4K,http://183.215.116.134:6610/180000001001/32023092211020848462000290559536/main.m3u8?IASHttpSessionId=OTT
cctv4k,http://183.215.116.134:6610/180000001001/00000001000000000085000000178450/main.m3u8?IASHttpSessionId=OTT
晴彩竞技,http://39.134.13.34:6610/000000001000/1000000006000270001/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2907320251115071259043530&channel-id=ystenlive&Contentid=1000000006000270001
晴彩篮球,http://39.134.13.34:6610/000000001000/2000000003000000061/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2909120251115071303031011&channel-id=hnbblive&Contentid=2000000003000000061
晴彩青少,http://39.134.13.34:6610/000000001000/2000000003000000068/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2909820251115071307028500&channel-id=hnbblive&Contentid=2000000003000000068
晴彩广场舞,http://39.134.13.34:6610/000000001000/1000000006000270003/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2906120251115071309044269&channel-id=ystenlive&Contentid=1000000006000270003
卫视,#genre#
湖南卫视,http://183.215.116.134:6610/180000001001/00000001000000000002000000027982/main.m3u8?IASHttpSessionId=OTT
浙江卫视,http://183.215.116.134:6610/180000001001/00000000000000020000000000182563/main.m3u8?IASHttpSessionId=OTT
江苏卫视,http://183.215.116.134:6610/180000001001/00000000000000020000000000182569/main.m3u8?IASHttpSessionId=OTT
东方卫视,http://39.134.240.4/PLTV/2/224/3221226088/index.m3u8
北京卫视,http://183.215.116.134:6610/180000001001/00000000000000020000000000182564/main.m3u8?IASHttpSessionId=OTT
天津卫视,http://183.215.116.134:6610/180000001001/00000000000000020000000000182588/main.m3u8?IASHttpSessionId=OTT
安徽卫视,http://39.134.240.4/PLTV/1/224/3221226370/index.m3u8
辽宁卫视,http://183.215.116.134:6610/180000001001/00000001000000001007000000063293/main.m3u8?IASHttpSessionId=OTT
吉林卫视,http://183.215.116.134:6610/180000001001/00000001000000000057000000208223/main.m3u8?IASHttpSessionId=OTT
深圳卫视,http://183.215.116.134:6610/180000001001/00000000000000020000000000182565/main.m3u8?IASHttpSessionId=OTT
山东卫视,http://183.215.116.134:6610/180000001001/00000000000000020000000000182570/main.m3u8?IASHttpSessionId=OTT
湖北卫视,http://39.134.240.4/PLTV/1/224/3221226114/index.m3u8
东南卫视,http://183.215.116.134:6610/180000001001/00000001000000000010000000040459/main.m3u8?IASHttpSessionId=OTT
江西卫视,http://39.134.240.4/PLTV/1/224/3221226120/index.m3u8
海南卫视,http://183.215.116.134:6610/180000001001/00000001000000000057000000208265/main.m3u8?IASHttpSessionId=OTT
湖南卫视,http://39.134.240.4/PLTV/1/224/3221225830/index.m3u8
江苏卫视,http://39.134.240.4/PLTV/1/224/3221225810/index.m3u8
浙江卫视,http://39.134.240.4/PLTV/1/224/3221225710/index.m3u8
上海卫视,http://39.134.240.4/PLTV/1/224/3221225718/index.m3u8
北京卫视,http://39.134.240.4/PLTV/1/224/3221225842/index.m3u8
天津卫视,http://39.134.240.4/PLTV/2/224/3221225898/index.m3u8
辽宁卫视,http://39.134.240.4/PLTV/2/224/3221225980/index.m3u8
安徽卫视,http://39.134.240.4/PLTV/2/224/3221225964/index.m3u8
吉林卫视,http://39.134.240.4/PLTV/2/224/3221226072/index.m3u8
广东卫视,http://39.134.240.4/PLTV/2/224/3221225970/index.m3u8
河北卫视,http://39.134.240.4/PLTV/2/224/3221226070/index.m3u8
山西卫视,http://39.134.240.4/PLTV/2/224/3221225775/index.m3u8
云南卫视,http://39.134.240.4/PLTV/2/224/3221225986/index.m3u8
江西卫视,http://39.134.240.4/PLTV/1/224/3221225836/index.m3u8
河南卫视,http://39.134.240.4/PLTV/1/224/3221225538/index.m3u8
陕西卫视,http://39.134.240.4/PLTV/2/224/3221225984/index.m3u8
广西卫视,http://39.134.240.4/PLTV/2/224/3221225978/index.m3u8
内蒙古卫视,http://39.134.240.4/PLTV/1/224/3221225592/index.m3u8
四川卫视,http://39.134.240.4/PLTV/2/224/3221225982/index.m3u8
甘肃卫视,http://39.134.240.4/PLTV/1/224/3221225590/index.m3u8
重庆卫视,http://39.134.240.4/PLTV/2/224/3221225966/index.m3u8
深圳卫视,http://39.134.13.34:6610/000000001000/5352218613763113657/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2910620251122112050031466&channel-id=ystenlive&Contentid=5352218613763113657
山东卫视,http://39.134.13.34:6610/000000001000/7347081113971056899/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2910520251122112100049873&channel-id=ystenlive&Contentid=7347081113971056899
黑龙江卫视,http://39.134.13.34:6610/000000001000/8467838254824392379/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2911320251122112110037097&channel-id=ystenlive&Contentid=8467838254824392379
大湾区卫视,http://39.134.13.34:6610/000000001000/2000000003000000045/index.m3u8?stbId=10&livemode=1&IASHttpSessionId=OTT2910320251122112113047519&channel-id=hnbblive&Contentid=2000000003000000045
东南卫视,http://183.215.116.134:6610/180000001001/00000001000000000002000000028028/main.m3u8?IASHttpSessionId=OTT
青海卫视,http://183.215.116.134:6610/180000001001/00000001000000000090000000215609/main.m3u8?IASHttpSessionId=OTT

凤凰卫视,#genre#
凤凰中文,http://8.218.84.3:8885/live/LxWcScuQ6WphaELY4DhkKm8SIv7_ZgNIJtNvFurqphvyqxUIU84OjKVCwFxMq9iUWdJdT-WvPAhPYAjqDDKUkgBhqPU05spvygdOQVMR-49HfUHqoz3BWysXpY3IcoxaskiJ6HCxNUFEGBHN7J9cHwJfR5qJYrfvRgFxEFVGK3M4e6U8zBBcXQ62XaSa7kUQZiYq5vbmVseM-xEImPe5pGROKnFK232_zwhQVcDCWqJ8GlcYI2uYcWREAj3tlSyt6pugIwt_wjsXByc9jMtMyw.m3u8?u=1756878715
